,precision,recall,f1-score,support
"
",0.0,0.0,0.0,0.0
"

",0.0,0.0,0.0,0.0
08000,0.0,0.0,0.0,0.0
08002,0.0,0.0,0.0,0.0
0801,0.0,0.0,0.0,0.0
08027,0.0,0.0,0.0,0.0
0804,0.0,0.0,0.0,0.0
08083,0.0,0.0,0.0,0.0
08089W.,0.0,0.0,0.0,0.0
0809,0.0,0.0,0.0,0.0
080921443,0.0,0.0,0.0,0.0
08094,0.0,0.0,0.0,0.0
081,0.0,0.0,0.0,0.0
0812,0.0,0.0,0.0,0.0
0814x92978,0.0,0.0,0.0,0.0
08187,0.0,0.0,0.0,0.0
082,0.0,0.0,0.0,0.0
0821,0.0,0.0,0.0,0.0
08213,0.0,0.0,0.0,0.0
08220,0.0,0.0,0.0,0.0
08221,0.0,0.0,0.0,0.0
08237,0.0,0.0,0.0,0.0
0824,0.0,0.0,0.0,0.0
0826,0.0,0.0,0.0,0.0
08269,0.0,0.0,0.0,0.0
08276,0.0,0.0,0.0,0.0
08285,0.0,0.0,0.0,0.0
0829,0.0,0.0,0.0,0.0
083,0.0,0.0,0.0,0.0
0830,0.0,0.0,0.0,0.0
0830x862,0.0,0.0,0.0,0.0
0834,0.0,0.0,0.0,0.0
08345,0.0,0.0,0.0,0.0
0834x244,0.0,0.0,0.0,0.0
08394,0.0,0.0,0.0,0.0
084,0.0,0.0,0.0,0.0
08407,0.0,0.0,0.0,0.0
08417,0.0,0.0,0.0,0.0
08439,0.0,0.0,0.0,0.0
08460,0.0,0.0,0.0,0.0
08479,0.0,0.0,0.0,0.0
0849x675,0.0,0.0,0.0,0.0
08511,0.0,0.0,0.0,0.0
08522,0.0,0.0,0.0,0.0
08534,0.0,0.0,0.0,0.0
08556,0.0,0.0,0.0,0.0
08584,0.0,0.0,0.0,0.0
086,0.0,0.0,0.0,0.0
08604,0.0,0.0,0.0,0.0
08651,0.0,0.0,0.0,0.0
0865x4061,0.0,0.0,0.0,0.0
08660,0.0,0.0,0.0,0.0
0867,0.0,0.0,0.0,0.0
08672,0.0,0.0,0.0,0.0
08673,0.0,0.0,0.0,0.0
0868,0.0,0.0,0.0,0.0
0868x689,0.0,0.0,0.0,0.0
08698,0.0,0.0,0.0,0.0
0869x603,0.0,0.0,0.0,0.0
087226249,0.0,0.0,0.0,0.0
08749,0.0,0.0,0.0,0.0
0875x261,0.0,0.0,0.0,0.0
0876,0.0,0.0,0.0,0.0
08779,0.0,0.0,0.0,0.0
08780,0.0,0.0,0.0,0.0
08781,0.0,0.0,0.0,0.0
088,0.0,0.0,0.0,0.0
08800,0.0,0.0,0.0,0.0
0881x410,0.0,0.0,0.0,0.0
08863,0.0,0.0,0.0,0.0
0887,0.0,0.0,0.0,0.0
089,0.0,0.0,0.0,0.0
0890,0.0,0.0,0.0,0.0
0890x06863,0.0,0.0,0.0,0.0
0898,0.0,0.0,0.0,0.0
089849548,0.0,0.0,0.0,0.0
089866,0.0,0.0,0.0,0.0
08Z,0.0,0.0,0.0,0.0
09,0.0,0.0,0.0,0.0
090,0.0,0.0,0.0,0.0
0901,0.0,0.0,0.0,0.0
0904,0.0,0.0,0.0,0.0
0904x636,0.0,0.0,0.0,0.0
0905,0.0,0.0,0.0,0.0
09077,0.0,0.0,0.0,0.0
0908,0.0,0.0,0.0,0.0
091,0.0,0.0,0.0,0.0
0911x92676,0.0,0.0,0.0,0.0
09148,0.0,0.0,0.0,0.0
09153,0.0,0.0,0.0,0.0
0917x578,0.0,0.0,0.0,0.0
0918,0.0,0.0,0.0,0.0
092,0.0,0.0,0.0,0.0
0920,0.0,0.0,0.0,0.0
09208,0.0,0.0,0.0,0.0
0920x289,0.0,0.0,0.0,0.0
0920x585,0.0,0.0,0.0,0.0
0920x5971,0.0,0.0,0.0,0.0
09218,0.0,0.0,0.0,0.0
0922,0.0,0.0,0.0,0.0
09257,0.0,0.0,0.0,0.0
0926,0.0,0.0,0.0,0.0
09272,0.0,0.0,0.0,0.0
093,0.0,0.0,0.0,0.0
0931,0.0,0.0,0.0,0.0
09317,0.0,0.0,0.0,0.0
09318,0.0,0.0,0.0,0.0
0931x82428,0.0,0.0,0.0,0.0
09325,0.0,0.0,0.0,0.0
09348,0.0,0.0,0.0,0.0
0935,0.0,0.0,0.0,0.0
0938,0.0,0.0,0.0,0.0
09380,0.0,0.0,0.0,0.0
09383,0.0,0.0,0.0,0.0
094,0.0,0.0,0.0,0.0
